Earnings,Title,ImageURL,Original Title,IMDb URL,Runtime (mins),Year,Genres,Directors
1250CR,K.G.F: Chapter 2,,K.G.F: Chapter 2,https://www.imdb.com/title/tt10698680/,166,2022,"Action, Crime, Drama, Thriller",Prashanth Neel
366CR,Pushpa: The Rise - Part 1,,Pushpa: The Rise - Part 1,https://www.imdb.com/title/tt9389998/,179,2021,"Action, Crime, Drama, Thriller",Sukumar
366CR,Tanhaji: The Unsung Warrior,,Tanhaji: The Unsung Warrior,https://www.imdb.com/title/tt8108274/,135,2020,"Action, Biography, Drama, History",Om Raut
475CR,War,,War,https://www.imdb.com/title/tt7430722/,151,2019,"Action, Adventure, Thriller",Siddharth Anand
679CR,2,,2,https://www.imdb.com/title/tt5080556/,148,2018,"Action, Sci-Fi, Thriller",S. Shankar
1810CR,Baahubali 2: The Conclusion,,Bãhubali 2: The Conclusion,https://www.imdb.com/title/tt4849438/,167,2017,"Action, Drama",S.S. Rajamouli
2024CR,Dangal,,Dangal,https://www.imdb.com/title/tt5074352/,161,2016,"Action, Biography, Drama, Sport",Nitesh Tiwari
969CR,Bajrangi Bhaijaan,,Bajrangi Bhaijaan,https://www.imdb.com/title/tt3863552/,163,2015,"Action, Adventure, Comedy, Drama",Kabir Khan
832CR,PK,,PK,https://www.imdb.com/title/tt2338151/,153,2014,"Comedy, Drama, Sci-Fi",Rajkumar Hirani
589CR,Dhoom 3,,Dhoom:3,https://www.imdb.com/title/tt1833673/,172,2013,"Action, Crime, Drama, Thriller",Vijay Krishna Acharya
334CR,Ek Tha Tiger,,Ek Tha Tiger,https://www.imdb.com/title/tt2016894/,132,2012,"Action, Adventure, Romance, Thriller",Kabir Khan
234CR,Bodyguard,,Bodyguard,https://www.imdb.com/title/tt1729637/,130,2011,"Action, Comedy, Drama, Romance",Siddique
289CR,Enthiran,,Enthiran,https://www.imdb.com/title/tt1305797/,174,2010,"Action, Sci-Fi, Thriller",S. Shankar
396CR,3 Idiots,,3 Idiots,https://www.imdb.com/title/tt1187043/,170,2009,"Comedy, Drama",Rajkumar Hirani
232CR,Ghajini,,Ghajini,https://www.imdb.com/title/tt1166100/,186,2008,"Action, Drama, Mystery, Romance, Thriller",A.R. Murugadoss
152CR,Om Shanti Om,,Om Shanti Om,https://www.imdb.com/title/tt1024943/,162,2007,"Action, Comedy, Drama, Fantasy, Musical, Romance, Thriller",Farah Khan
151CR,Dhoom 2,,Dhoom:2,https://www.imdb.com/title/tt0441048/,152,2006,"Action, Crime, Thriller",Sanjay Gadhvi
79CR,No Entry,,No Entry,https://www.imdb.com/title/tt0451833/,158,2005,"Comedy, Drama, Musical, Romance",Anees Bazmee
96CR,Veer-Zaara,,Veer-Zaara,https://www.imdb.com/title/tt0420332/,192,2004,"Drama, Family, Musical, Romance",Yash Chopra
86CR,Kal Ho Naa Ho,,Kal Ho Naa Ho,https://www.imdb.com/title/tt0347304/,186,2003,"Comedy, Drama, Musical, Romance",Nikkhil Advani
102CR,Devdas,,Devdas,https://www.imdb.com/title/tt0238936/,185,2002,"Drama, Musical, Romance",Sanjay Leela Bhansali
135CR,Kabhi Khushi Kabhie Gham...,,Kabhi Khushi Kabhie Gham...,https://www.imdb.com/title/tt0248126/,210,2001,"Drama, Musical, Romance",Karan Johar
90CR,Mohabbatein,,Mohabbatein,https://www.imdb.com/title/tt0213890/,216,2000,"Drama, Musical, Romance",Aditya Chopra
81CR,Hum Saath-Saath Hain,,Hum Saath-Saath Hain,https://www.imdb.com/title/tt0216817/,177,1999,"Drama, Musical",Sooraj R. Barjatya
106CR,Kuch Kuch Hota Hai,,Kuch Kuch Hota Hai,https://www.imdb.com/title/tt0172684/,185,1998,"Comedy, Drama, Musical, Romance",Karan Johar
71CR,Dil To Pagal Hai,,Dil To Pagal Hai,https://www.imdb.com/title/tt0118983/,180,1997,"Comedy, Drama, Musical, Romance",Yash Chopra
76CR,Raja Hindustani,,Raja Hindustani,https://www.imdb.com/title/tt0117437/,177,1996,"Action, Comedy, Drama, Musical, Romance",Dharmesh Darshan
126CR,Dilwale Dulhania Le Jayenge,,Dilwale Dulhania Le Jayenge,https://www.imdb.com/title/tt0112870/,181,1995,"Drama, Romance",Aditya Chopra
134CR,Hum Aapke Hain Koun..!,,Hum Aapke Hain Koun..!,https://www.imdb.com/title/tt0110076/,206,1994,"Comedy, Drama, Musical, Romance",Sooraj R. Barjatya
25.25CR,Aankhen,,Aankhen,https://www.imdb.com/title/tt0106204/,170,1993,"Action, Comedy, Crime, Thriller",David Dhawan
23.25CR,Beta,,Beta,https://www.imdb.com/title/tt0101437/,171,1992,"Drama, Romance",Indra Kumar
18CR,Saajan,,Saajan,https://www.imdb.com/title/tt0102825/,193,1991,"Drama, Musical, Romance",Lawrence D'Souza
18CR,Dil,,Dil,https://www.imdb.com/title/tt0099429/,172,1990,"Comedy, Drama, Romance",Indra Kumar
28CR,Maine Pyar Kiya,,Maine Pyar Kiya,https://www.imdb.com/title/tt0100095/,192,1989,"Drama, Musical, Romance",Sooraj R. Barjatya
16CR,Tezaab,,Tezaab,https://www.imdb.com/title/tt0096252/,173,1988,"Action, Crime, Drama, Romance",N. Chandra
11CR,Hukumat,,Hukumat,https://www.imdb.com/title/tt0359440/,130,1987,"Action, Drama",Anil Sharma
14CR,Karma,,Karma,https://www.imdb.com/title/tt0091328/,193,1986,"Action, Adventure, Drama, Thriller",Subhash Ghai
19CR,Ram Teri Ganga Maili,,Ram Teri Ganga Maili,https://www.imdb.com/title/tt0152139/,178,1985,"Drama, Musical, Romance",Raj Kapoor
20CR,Jagir,,Jagir,https://www.imdb.com/title/tt0157844/,135,1984,"Action, Adventure, Drama",Pramod Chakravorty
18CR,Coolie,,Coolie,https://www.imdb.com/title/tt0085361/,177,1983,"Action, Comedy, Drama, Romance","Manmohan Desai, Prayag Raj"
100CR,Disco Dancer,,Disco Dancer,https://www.imdb.com/title/tt0208903/,135,1982,"Action, Drama, Musical, Romance",Babbar Subhash
20CR,Kranti,,Kranti,https://www.imdb.com/title/tt0234054/,187,1981,"Action, Adventure, Drama, History",Manoj Kumar
12CR,Qurbani,,Qurbani,https://www.imdb.com/title/tt0246879/,157,1980,"Action, Crime, Drama, Thriller",Feroz Khan
10CR,Suhaag,,Suhaag,https://www.imdb.com/title/tt0079963/,164,1979,"Action, Comedy, Drama, Musical, Romance",Manmohan Desai
26CR,Muqaddar Ka Sikandar,,Muqaddar Ka Sikandar,https://www.imdb.com/title/tt0079590/,189,1978,"Drama, Romance",Prakash Mehra
15.5CR,Amar Akbar Anthony,,Amar Akbar Anthony,https://www.imdb.com/title/tt0075669/,184,1977,"Action, Comedy, Drama, Music",Manmohan Desai
,Barood,,Barood,https://www.imdb.com/title/tt0157358/,140,1976,"Action, Crime, Drama, Romance, Thriller",Pramod Chakravorty
35CR,Sholay,,Sholay,https://www.imdb.com/title/tt0073707/,162,1975,"Action, Adventure, Comedy, Drama, Musical, Thriller, Western",Ramesh Sippy
10.5CR,Roti Kapada Aur Makaan,,Roti Kapada Aur Makaan,https://www.imdb.com/title/tt0072100/,159,1974,"Action, Drama, Musical, Romance",Manoj Kumar
30CR,Bobby,,Bobby,https://www.imdb.com/title/tt0069810/,168,1973,"Comedy, Drama, Musical, Romance",Raj Kapoor
3.5CR,Seeta Aur Geeta,,Seeta Aur Geeta,https://www.imdb.com/title/tt0078222/,162,1972,"Adventure, Comedy, Drama, Family, Musical, Romance",Ramesh Sippy
